Compartment_id	Transect_id	Plot	species_id	abundance_count	abundance_percent	Species_Name	Species_Family
181	13	2	164	1	0	Mondia whitei	Asclepiadaceae
181	13	3	155	1	0	Chantime aristofolia	
181	13	4	155	1	0	Chantime aristofolia	
181	13	5	72	1	0	Paulina pinnata	Sapindaceae
181	71	1	51	1	0	Khaya anthotheca	Meliaceae
181	71	2	155	1	0	Chantime aristofolia	
181	71	3	155	1	0	Chantime aristofolia	
181	71	3	112	1	0	Albizia sp	Leguminosae
181	71	3	51	1	0	Khaya anthotheca	Meliaceae
181	71	4	166	1	0	Albizia zygia	Leguminosae
181	71	5	155	1	0	Chantime aristofolia	
181	71	5	154	0	1	Tetracera potatoria	Dillenianceae
181	71	6	154	0	1	Tetracera potatoria	Dillenianceae
189	52	0	148	2	0	purple stem	
189	52	0	5	2	0	Diospyros abyssinica	Ebenaceae
189	52	1	167	1	0	Albizia 11	Leguminosae
189	52	1	168	1	0	Mahogany utile	Meliaceae
189	52	1	73	1	0	Greenwayodendron sauveolens	Annonaceae
189	52	3	104	0	2	ferns	Thelypteridaceae
189	52	3	134	1	0	Costus afer	Zingiberaceae
189	52	5	73	1	0	Greenwayodendron sauveolens	Annonaceae
189	52	5	169	1	0	Habenaria  genuflexa	Orchidaceae
189	52	6	104	0	20	ferns	Thelypteridaceae
189	71	0	170	1	0	Desplatsia mildbraedii	Tiliaceae
189	7	0	101	1	0	Euphobiacea 28	Euphorbiaceae
189	7	0	172	1	0	Milettia excelsum	Papilionaceae
189	7	1	173	1	0	Monanthotaxi ferruginea	Annonaceae
189	7	1	174	1	0	Psydrax pariviflora	Rubiaceae
189	7	2	88	1	0	Olyra latifolia	Poaceae
189	7	2	153	1	0	Solanum mauritianum	Solanaceae
189	7	3	175	0	5	Climber 32	
189	7	3	103	0	5	Acacia pentagona	Leguminosae
189	7	3	177	1	0	Climber 33	
189	7	3	178	1	0	Psydrax schimperiana	Rubiaceae
189	7	4	179	1	0	Celtis africana	Ulmaceae
189	7	5	104	1	0	ferns	Thelypteridaceae
189	7	6	123	1	0	Psydrax sp.	Rubiaceae
189	7	6	180	0	2	Doryopteris	Adiantaceae
189	7	6	181	0	4	Pseudochinoclea sp	Poaceae
189	1	2	51	1	0	Khaya anthotheca	Meliaceae
189	1	2	182	1	0	Collected 9	
189	1	3	103	0	1	Acacia pentagona	Leguminosae
189	1	4	111	1	0	Stanfieldiella imperforata	Commelinaceae
189	50	0	183	2	0	Small leaves 1	
189	50	0	184	2	0	small leaves 2	
189	50	1	151	1	0	Harugana madgascar	Melastomataceae
189	50	1	104	0	1	ferns	Thelypteridaceae
189	50	1	185	1	0	Collected 3	
189	50	2	168	1	0	Mahogany utile	Meliaceae
189	50	2	186	1	0	Climber 31	
189	50	3	64	1	0	Drypetes sp	Euphorbiaceae
189	50	3	181	0	1	Pseudochinoclea sp	Poaceae
189	50	4	104	0	1	ferns	Thelypteridaceae
189	50	5	108	3	0	collected 5	
189	50	5	19	1	0	Albizia grandibracteata	Leguminosae
189	50	6	103	1	0	Acacia pentagona	Leguminosae
189	50	6	104	0	1	ferns	Thelypteridaceae
189	50	6	187	4	0	Climber 3	
189	53	1	187	0	5	Climber 3	
189	53	2	187	0	5	Climber 3	
189	53	3	188	1	0	Celtis sp	Ulmaceae
189	53	4	187	1	0	Climber 3	
189	53	4	188	1	0	Celtis sp	Ulmaceae
189	53	5	187	1	0	Climber 3	
189	53	5	5	1	0	Diospyros abyssinica	Ebenaceae
190	3	0	5	1	0	Diospyros abyssinica	Ebenaceae
190	3	0	188	5	0	Celtis sp	Ulmaceae
190	3	1	157	0	2	Celestacea sp 23	
190	3	1	142	6	0	Corymborkis corymbis	Orchidaceae
190	3	1	190	1	0	Meliacia sp	Papilionaceae
190	3	1	191	1	0	Climber 40	
190	3	2	103	1	0	Acacia pentagona	Leguminosae
190	3	3	192	1	0	Collected 41	
190	2	0	5	1	0	Diospyros abyssinica	Ebenaceae
190	2	2	136	1	0	Clerodendrum formicarum	Verbenaceae
190	2	2	169	1	0	Habenaria  genuflexa	Orchidaceae
190	2	3	104	1	0	ferns	Thelypteridaceae
190	2	3	193	1	0	Smilax anceps	Smilacaceae
190	2	4	193	1	0	Smilax anceps	Smilacaceae
190	2	4	5	1	0	Diospyros abyssinica	Ebenaceae
190	2	4	138	0	1	Urera trinervis	Urticaceae
190	2	4	10	3	0	Dracaena fragrans	Asparagaceae
190	2	4	151	1	0	Harugana madgascar	Melastomataceae
190	2	4	194	1	0	Cissus  sp	Vitaceae
190	4	0	73	1	0	Greenwayodendron sauveolens	Annonaceae
190	4	1	195	1	0	Milletia psilopetala	Papilionaceae
190	4	6	84	2	0	Allophyllus 10	
190	4	6	188	1	0	Celtis sp	Ulmaceae
190	5	5	10	0	20	Dracaena fragrans	Asparagaceae
190	5	5	197	1	0	Trichilia prieureanea	Meliaceae
190	5	6	10	0	50	Dracaena fragrans	Asparagaceae
190	5	1	104	0	5	ferns	Thelypteridaceae
190	5	1	88	0	1	Olyra latifolia	Poaceae
190	5	1	4	2	0	Malnilkara dawei	Sapotaceae
190	5	2	10	0	50	Dracaena fragrans	Asparagaceae
190	5	2	88	0	2	Olyra latifolia	Poaceae
190	5	3	10	0	10	Dracaena fragrans	Asparagaceae
190	5	3	88	1	0	Olyra latifolia	Poaceae
190	5	4	10	0	5	Dracaena fragrans	Asparagaceae
190	5	4	88	3	0	Olyra latifolia	Poaceae
190	6	0	188	1	0	Celtis sp	Ulmaceae
190	6	1	10	0	10	Dracaena fragrans	Asparagaceae
190	6	1	111	1	0	Stanfieldiella imperforata	Commelinaceae
190	6	1	188	1	0	Celtis sp	Ulmaceae
190	6	2	188	0	20	Celtis sp	Ulmaceae
204	68	0	208	1	0	Nuxia congesta	Loganiaceae
204	68	0	173	1	0	Monanthotaxi ferruginea	Annonaceae
204	68	1	207	1	0	Begonia eminni	Begoniaceae
206	30	1	121	1	0	Allophyllus dummeri	Sapindaceae
206	30	1	201	0	2	Thelypteris sp.	Thelypteridaceae
206	30	2	205	1	0	Ochna membranacea	Ochnaceae
206	28	2	45	1	0	Pollia condensata	Commelinaceae
206	27	3	48	1	0	Caelsalpinia bonduc	Caesalpinaceae
206	32	4	121	1	0	Allophyllus dummeri	Sapindaceae
206	39	5	214	1	0	Carapa procera	Meliaceae
206	39	1	214	1	0	Carapa procera	Meliaceae
207	62	3	121	1	0	Allophyllus dummeri	Sapindaceae
226	41	0	204	1	0	Ouratea densifolia	Ochnaceae
226	40	0	204	1	0	Ouratea densifolia	Ochnaceae
226	20	1	135	0	5	Thurmbergia vogeliana	Acanthaceae
226	20	2	138	0	1	Urera trinervis	Urticaceae
226	20	3	212	1	0	Pycrenantha sylvestris	Icacinaceae
181	12	3	227	1	0	Albizia odoratissima	Mimosaceae
189	7	1	218	1	0	Monanthotaxis littoralis	Annonaceae
189	7	1	174	1	0	Psydrax pariviflora	Rubiaceae
190	3	1	142	6	0	Corymborkis corymbis	Orchidaceae
190	2	1	222	1	0	Adenia sp.	Passifloraceae
190	3	1	232	1	0	Entandrophragma cylindricum	Meliaceae
190	3	1	223	0	1	Cynanchum polyanthum	Ascelpiadaceae
190	3	3	87	1	0	Tacca leontopetaloides	Taccaceae
190	2	1	226	4	0	Kleinhovia hospitata	Sterculiaceae
190	2	4	138	0	1	Urera trinervis	Urticaceae
190	4	2	170	1	0	Desplatsia mildbraedii	Tiliaceae
190	4	6	234	10	0	Cyathula achyranthoides	Amaranthaceae
190	4	6	235	1	0	Diplocyclos palmatus	Cucurbitaceae
189	7	3	236		5	Rhaphiostylis beninensis	Icacinaceae
